ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_2	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
prok_asv11	3190	3399	3704	1958	4238	1736	2570	2617	491	736	971	2235	2278	739	2029	1969	2862	5221	3806	5175	2620	3090	1145	1053	471	1298	981	1329	727	454	466	585	419	502	824	405	789	763	346	1914	1314	1200	1634	2564	830	237	1036	362	1024	1817	2174	1358	1834	1516	584	608	279	588	316	196	481	1716	1373	636	463	2870	43363	3594	4350	3006	1346	1755	67	3121	4164	2255	1511	1353	675	642	1288	2368	1941	1671	606	848	777	3372	1194	2382	7843	13279	12277	2358	4297	2089	1675
prok_asv12	936	482	262	299	44	25	22	0	7	6	42	132	129	179	68	280	643	1622	1014	1539	865	1561	282	312	1455	174	72	116	72	26	22	28	1	67	68	98	125	168	671	2178	6270	4830	2885	3016	2275	301	1477	922	281	349	1465	151	181	48	107	61	98	49	18	17	119	226	180	876	264	328	18283	2411	15208	650	1760	1442	304	1148	513	1353	987	445	96	724	271	179	292	713	411	2377	713	2387	11165	6944	3386	5286	2896	2804	832	1264	434
prok_asv13	25	26	37	10	446	1404	5352	12059	1163	2600	1682	5451	7447	2132	4379	455	324	626	176	33	9	20	3	31	9	156	893	1200	2575	1584	1496	3326	1336	1725	2076	1623	1778	1353	322	130	69	3	17	3	1	10	3	2	8	1914	768	2270	4823	1802	2446	3611	2122	4264	2656	1740	1544	8985	4328	333	89	182	1861	98	744	1218	41	25	2	97	209	344	731	585	500	466	684	1420	1223	2256	642	836	700	526	124	32	26	62	19	0	6	10	18
prok_asv14	2750	3387	3897	2102	3249	1640	2138	2102	339	633	1071	2235	1887	728	1846	1348	1772	2225	1654	2120	1054	1457	981	1007	384	955	860	1566	738	473	517	637	556	495	875	436	966	889	353	1327	835	1069	965	1949	435	150	1240	407	1249	2029	1611	1382	1519	1484	600	618	404	496	335	202	382	2008	1540	550	224	1372	24274	1594	2341	1829	654	1360	115	2971	3052	2340	1106	1167	509	461	984	1620	1720	1469	485	476	429	2307	1447	1774	4320	6520	6017	2142	3723	2059	1480
prok_asv15	1626	2861	4521	1854	5046	1255	1597	1700	282	439	493	1121	1506	559	1582	1304	1939	3223	2158	4857	2392	2377	838	610	354	1560	755	800	448	269	214	407	209	224	406	218	418	492	270	1548	933	593	1210	2022	472	119	967	416	1653	3116	3034	1949	1786	1529	399	377	235	247	220	96	229	1034	1276	543	302	2370	34999	3540	2583	2007	1000	2036	45	2459	2847	2816	1178	938	447	427	704	1106	930	965	323	613	491	1005	425	715	1924	5535	4758	1246	1860	1627	1284
prok_asv16	692	540	1431	1300	1649	273	268	132	12	32	37	29	59	25	46	1210	1285	1233	1244	852	807	1071	507	370	496	124	89	64	32	19	25	19	10	34	28	31	85	95	699	2111	4374	3444	490	457	630	204	831	1011	417	292	1071	201	276	122	69	38	22	79	20	23	55	120	242	1592	857	577	18651	1647	6705	677	489	620	113	1181	947	1340	906	546	294	505	374	447	314	423	109	273	237	2518	18333	7115	4080	3695	1393	1100	398	752	289
prok_asv17	13	19	11	3	140	282	999	1586	164	615	865	1197	1040	468	2068	504	294	482	177	43	2	10	5	52	11	211	827	847	902	927	1529	1145	920	1101	1208	1056	1172	1482	656	380	289	86	42	21	5	0	3	1	8	552	336	488	908	1307	574	671	953	616	604	310	597	3099	1571	711	169	358	2950	144	1099	727	10	3	0	121	301	586	1373	1097	1942	852	3638	3498	5557	2124	945	1444	2212	5344	1720	854	684	226	226	4	55	24	86
prok_asv18	67	42	7	9	78	50	765	1202	142	405	609	1177	1079	478	798	418	368	765	201	63	13	27	2	3	0	34	38	164	235	205	311	379	196	243	314	373	514	310	76	86	88	2	7	4	3	0	8	0	4	103	82	87	305	142	206	311	69	449	384	141	253	2037	1216	233	60	221	3119	99	610	699	40	8	1	150	380	395	584	724	548	767	1405	2409	2436	2638	1133	1287	839	1357	297	82	140	223	73	7	60	11	11
prok_asv19	2163	1814	983	726	1374	407	482	521	25	52	114	156	215	85	186	294	747	3633	3299	4272	2416	3286	913	255	92	532	454	410	127	85	68	74	31	33	53	47	94	85	150	393	669	352	2232	3448	939	389	747	106	600	1189	1338	716	640	205	107	92	45	0	42	17	64	105	144	123	287	4118	70884	6099	9813	3736	3693	1938	1067	839	2257	776	356	169	49	100	72	123	67	119	41	20	34	101	119	732	3361	6799	3792	1921	1395	1514	1010
prok_asv20	357	592	871	725	1817	787	1789	1090	145	262	434	996	861	224	731	739	1115	1320	895	1069	330	837	481	1249	1090	1785	1107	1089	608	315	423	311	161	231	238	186	297	277	150	598	385	136	256	335	266	346	102	117	804	1753	3002	2075	1860	1662	511	415	283	240	213	183	180	1065	1005	257	275	1356	27625	1195	4300	2018	491	540	121	4722	4888	6935	3206	2693	1742	1072	1589	2453	1690	1591	476	699	402	2038	1137	2103	5287	8935	1662	1768	1255	1295	1491
