RAS_id	RAS_sample_names	MG_sample_names	date	SSU_16S	SSU_18S	MetaG	lat	daylight	depth	temp	sal	sig	O2_conc	O2_sat	Chl_a	CO2	pH	PAR_satellite	MLD	AW_frac	PW_frac	NO3_NO2	PO4	NO2	SiO4	iceConc	iceDist	icePast	iceDistPast	sample_title	mooring_full	year	month	lon
09_2016_F4_2	FRAM_RAS_F4_09_1617_2	FRAM_RAS_F4_09_1617_2	15.09.2016	16S	18S		79.01	14.21	28.61	6.72	34.92	27.39	298.45	98.25	NA	323.7	8.15	8.596	0	0.74	0.26	2.21	0.31	0.02	1.12	0	44.79	0	69.16	RAS_F4_09_1617_2	F4-S-1	2016-17	Sep	6.96
09_2017_F4_1	FRAM_RAS_F4_09_1718_1	FRAM_RAS_F4_09_1718_1	14.09.2017	16S	18S	MG	79.01	14.77	30.52	6.31	34.88	27.42	303.18	98.85	1.42	315.35	8.14	7.95	0	0.7	0.3	NA	NA	NA	NA	0	79.95	0	79.55	RAS_F4_09_1718_1	F4-S-2	2017-18	Sep	6.96
09_2017_F4_2	FRAM_RAS_F4_09_1718_2	FRAM_RAS_F4_09_1718_2	29.09.2017	16S	18S		79.01	10.7	30.24	6.92	35.04	27.47	297.6	98.49	0.67	353.22	8.09	2.266	0	0.88	0.12	NA	NA	NA	NA	0	79.92	NA	73.83	RAS_F4_09_1718_2	F4-S-2	2017-18	Sep	6.96
09_2018_F4_1	FRAM_RAS_F4_09_1819_1	FRAM_RAS_F4_09_1819_1	06.09.2018	16S	18S	MG	79	17.27	24.58	7.04	34.95	27.37	290.52	96.36	1.92	394.31	8.16	8.572	0	0.77	0.23	NA	NA	NA	NA	0	75.42	0	74.13	RAS_F4_09_1819_1	F4-S-3	2018-19	Sep	7
09_2018_F4_2	FRAM_RAS_F4_09_1819_2	FRAM_RAS_F4_09_1819_2	22.09.2018	16S	18S		79	12.58	25.7	6.71	35	27.46	285.05	93.88	0.75	454.98	8.11	4.646	26.95	0.83	0.17	NA	NA	NA	NA	0	72.33	0	75.42	RAS_F4_09_1819_2	F4-S-3	2018-19	Sep	7
09_2019_F4_1	FRAM_RAS_F4_09_1920_1	FRAM_RAS_F4_09_1920_1	15.09.2019	16S	18S	MG	79.02	14.51	31.5	6.37	34.89	27.42	292.44	95.48	1.91	388.8	8.13	6.266	24.07	0.71	0.29	NA	NA	NA	NA	0	75.42	0	72.56	RAS_F4_09_1920_1	F4-S-4	2019-20	Sep	6.97
09_2020_F4_1	FRAM_RAS_F4_09_1920_2	FRAM_RAS_F4_09_1920_2	01.09.2020	16S	18S		79.02	18.83	20.54	7.07	34.73	27.2	293.68	97.31	1.71	502.58	0	11.29	0	0.51	0.49	NA	NA	NA	NA	0	75.42	0	75.22	RAS_F4_09_1920_2	F4-S-4	2020-21	Sep	6.97
09_2020_F4_2	FRAM_RAS_F4_09_1920_3	FRAM_RAS_F4_09_1920_3	17.09.2020	16S	18S		79.02	13.67	22.81	6.69	34.82	27.32	288.41	94.81	1.73	789.45	0	5.662	0	0.61	0.39	NA	NA	NA	NA	0	75.42	0	74.6	RAS_F4_09_1920_3	F4-S-4	2020-21	Sep	6.97
10_2016_F4	FRAM_RAS_F4_10_1617	FRAM_RAS_F4_10_2016	01.10.2016	16S	18S	MG	79.01	9.87	37.24	6.59	35.08	27.54	294.84	96.87	NA	347.42	8.12	1.24	55.03	0.93	0.07	NA	NA	NA	NA	0	78.07	0.08	60.27	RAS_F4_10_1617	F4-S-1	2016-17	Oct	6.96
10_2017_F4	FRAM_RAS_F4_10_1718	FRAM_RAS_F4_10_1718	29.10.2017	16S	18S	MG	79.01	0	37.95	6.63	35.01	27.48	293.74	96.55	0.1	362.02	8.08	0	78.22	0.84	0.16	NA	NA	NA	NA	0	76.01	0	77.99	RAS_F4_10_1718	F4-S-2	2017-18	Oct	6.96
10_2018_F4_1	FRAM_RAS_F4_10_1819_1	FRAM_RAS_F4_10_1819_1	08.10.2018	16S	18S		79	8.08	26.01	4.56	34.69	27.48	297.89	93.07	0.55	440.89	8.12	0.7	0	0.5	0.5	NA	NA	NA	NA	0	71.02	0	73.76	RAS_F4_10_1819_1	F4-S-3	2018-19	Oct	7
10_2018_F4_2	FRAM_RAS_F4_10_1819_2	FRAM_RAS_F4_10_1819_2	24.10.2018	16S	18S		79	1.76	48.55	5.61	34.96	27.57	288.1	92.45	0.31	476.25	8.1	0	75.63	0.8	0.2	NA	NA	NA	NA	0	75.42	0	74.06	RAS_F4_10_1819_2	F4-S-3	2018-19	Oct	7
10_2019_F4_1	FRAM_RAS_F4_10_1920_1	FRAM_RAS_F4_10_1920_1	01.10.2019	16S	18S	MG	79.02	10.13	25.33	6.18	34.82	27.39	289.16	93.94	1.15	395.83	8.12	2.032	10.12	0.63	0.37	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_10_1920_1	F4-S-4	2019-20	Oct	6.97
10_2019_F4_2	FRAM_RAS_F4_10_1920_2	FRAM_RAS_F4_10_1920_2	17.10.2019	16S	18S	MG	79.02	4.68	21.85	4.96	34.68	27.43	295.7	93.28	0.74	400.5	8.12	0	49.67	0.49	0.51	NA	NA	NA	NA	0	70.2	0	75.42	RAS_F4_10_1920_2	F4-S-4	2019-20	Oct	6.97
11_2016_F4	FRAM_RAS_F4_11_1617	FRAM_RAS_F4_11_2016	01.11.2016	16S	18S	MG	79.01	0	52.98	6.54	35.04	27.52	295.05	96.8	NA	359.23	8.1	0	84.13	0.89	0.11	8.34	0.57	0.03	2.46	0	80.99	0	75.68	RAS_F4_11_1617	F4-S-1	2016-17	Nov	6.96
11_2017_F4	FRAM_RAS_F4_11_1718	FRAM_RAS_F4_11_1718	28.11.2017	16S	18S		79.01	0	24.5	5.1	34.96	27.63	301.62	95.67	0	364.9	8.08	0	63.89	0.81	0.19	NA	NA	NA	NA	0	76.01	0	78.67	RAS_F4_11_1718	F4-S-2	2017-18	Nov	6.96
11_2018_F4_1	FRAM_RAS_F4_11_1819_1	FRAM_RAS_F4_11_1819_1	09.11.2018	16S	18S		79	0	40.95	5.23	34.96	27.62	291.81	92.84	0.21	485.85	8.09	0	68.53	0.82	0.18	NA	NA	NA	NA	0	75.42	0	74.68	RAS_F4_11_1819_1	F4-S-3	2018-19	Nov	7
11_2018_F4_2	FRAM_RAS_F4_11_1819_2	FRAM_RAS_F4_11_1819_2	25.11.2018	16S	18S		79	0	29.02	4.81	35	27.7	296.51	93.43	0.17	487.15	8.08	0	56.82	0.87	0.13	NA	NA	NA	NA	0	73.92	0	73.81	RAS_F4_11_1819_2	F4-S-3	2018-19	Nov	7
11_2019_F4_1	FRAM_RAS_F4_11_1920_1	FRAM_RAS_F4_11_1920_1	02.11.2019	16S	18S		79.02	0	24.74	3.21	34.53	27.49	307.44	92.88	0.5	410.35	8.12	0	0	0.34	0.66	NA	NA	NA	NA	0	75.42	0	73.44	RAS_F4_11_1920_1	F4-S-4	2019-20	Nov	6.97
11_2019_F4_2	FRAM_RAS_F4_11_1920_2	FRAM_RAS_F4_11_1920_2	18.11.2019	16S	18S		79.02	0	21.29	3.01	34.68	27.62	308.22	92.67	0.41	419.7	8.11	0	48.37	0.52	0.48	NA	NA	NA	NA	0	67.03	0	75.42	RAS_F4_11_1920_2	F4-S-4	2019-20	Nov	6.97
12_2016_F4	FRAM_RAS_F4_12_1617	FRAM_RAS_F4_12_2016_1	01.12.2016	16S	18S	MG	79.01	0	36.52	5.12	35.11	27.75	303.46	96.39	NA	368.85	8.09	0	76.15	0.99	0.01	11.04	0.71	0	3.75	0	80.99	0	73.74	RAS_F4_12_1617	F4-S-1	2016-17	Dec	6.96
12_2017_F4	FRAM_RAS_F4_12_1718	FRAM_RAS_F4_12_1718	28.12.2017	16S	18S		79.01	0	26.06	4.26	35.02	27.78	308.61	95.98	0	372.3	8.07	0	259.27	0.9	0.1	NA	NA	NA	NA	0	75.42	0	78.38	RAS_F4_12_1718	F4-S-2	2017-18	Dec	6.96
12_2018_F4_1	FRAM_RAS_F4_12_1819_1	FRAM_RAS_F4_12_1819_1	11.12.2018	16S	18S		79	0	33.67	4.31	34.97	27.73	298.04	92.76	0.16	494.72	8.08	0	61.08	0.84	0.16	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_12_1819_1	F4-S-3	2018-19	Dec	7
12_2018_F4_2	FRAM_RAS_F4_12_1819_2	FRAM_RAS_F4_12_1819_2	27.12.2018	16S	18S		79	0	33.44	4.3	34.99	27.75	298.3	92.85	0.15	498.48	8.07	0	82.39	0.87	0.13	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_12_1819_2	F4-S-3	2018-19	Dec	7
12_2019_F4_1	FRAM_RAS_F4_12_1920_1	FRAM_RAS_F4_12_1920_1	04.12.2019	16S	18S	MG	79.02	0	22.65	3.77	34.95	27.77	299.91	92.14	0.37	455.5	8.17	0	257.24	0.83	0.17	NA	NA	NA	NA	0	75.42	0	68.4	RAS_F4_12_1920_1	F4-S-4	2019-20	Dec	6.97
12_2019_F4_2	FRAM_RAS_F4_12_1920_2	FRAM_RAS_F4_12_1920_2	20.12.2019	16S	18S		79.02	0	21.45	2.41	34.73	27.72	309.97	91.9	0.38	454.62	0	0	196.99	0.59	0.41	NA	NA	NA	NA	0	75.42	0	74.36	RAS_F4_12_1920_2	F4-S-4	2019-20	Dec	6.97
