RAS_id	RAS_sample_names	MG_sample_names	date	SSU_16S	SSU_18S	MetaG	lat	daylight	depth	temp	sal	sig	O2_conc	O2_sat	Chl_a	CO2	pH	PAR_satellite	MLD	AW_frac	PW_frac	NO3_NO2	PO4	NO2	SiO4	iceConc	iceDist	icePast	iceDistPast	sample_title	mooring_full	year	month	lon
03_2020_F4_1	FRAM_RAS_F4_03_1920_1	FRAM_RAS_F4_03_1920_1	09.03.2020	16S	18S		79.02	8.55	54.59	-0.22	34.51	27.7	322.46	89.21	0.31	424.28	0	1.936	41.74	0.39	0.61	NA	NA	NA	NA	7.7	25.34	0	58.5	RAS_F4_03_1920_1	F4-S-4	2019-20	Mar	6.97
03_2020_F4_2	FRAM_RAS_F4_03_1920_2	FRAM_RAS_F4_03_1920_2	25.03.2020	16S	18S		79.02	13.07	22.66	-0.04	34.51	27.71	320.23	89.09	0.35	418.98	0	6.304	25.23	0.39	0.61	NA	NA	NA	NA	38.15	-7.05	13.06	19.1	RAS_F4_03_1920_2	F4-S-4	2019-20	Mar	6.97
04_2017_F4_1	FRAM_RAS_F4_04_1617_1	FRAM_RAS_F4_04_1617_1	01.04.2017	16S	18S		79.01	14.73	28.95	2.98	35.03	27.91	315.77	95.21	NA	364.12	8.11	7.466	256.97	0.96	0.04	12.37	0.77	0	4.51	0	63.41	0	64.61	RAS_F4_04_1617_1	F4-S-1	2016-17	Apr	6.96
04_2017_F4_2	FRAM_RAS_F4_04_1617_2	FRAM_RAS_F4_04_1617_2	15.04.2017	16S	18S		79.01	19.5	38.51	3.88	35.08	27.86	313.27	96.58	NA	368.08	8.1	12.992	283.76	0.98	0.02	12.47	0.78	0	4.56	0	75.15	0	66.46	RAS_F4_04_1617_2	F4-S-1	2016-17	Apr	6.96
04_2018_F4_1	FRAM_RAS_F4_04_1718_1	FRAM_RAS_F4_04_1718_1	03.04.2018	16S	18S		79.01	15.31	53.09	3.14	35.02	27.89	318.36	96.37	0	374.2	8.07	14.226	351.04	0.93	0.07	NA	NA	NA	NA	0	75.42	0	76.62	RAS_F4_04_1718_1	F4-S-2	2017-18	Apr	6.96
04_2018_F4_2	FRAM_RAS_F4_04_1718_2	FRAM_RAS_F4_04_1718_2	12.04.2018	16S	18S		79.01	18.26	25.74	3.46	35.06	27.89	317.03	96.75	0	376.22	8.07	7.1	250.28	0.97	0.03	NA	NA	NA	NA	0	75.42	0	76.43	RAS_F4_04_1718_2	F4-S-2	2017-18	Apr	6.96
04_2018_F4_3	FRAM_RAS_F4_04_1718_3	FRAM_RAS_F4_04_1718_3	21.04.2018	16S	18S		79.01	24	34.97	3.06	35.05	27.92	320.64	96.88	0.07	374.52	8.07	11.416	254.78	0.96	0.04	NA	NA	NA	NA	0	76.01	0	76.12	RAS_F4_04_1718_3	F4-S-2	2017-18	Apr	6.96
04_2018_F4_4	FRAM_RAS_F4_04_1718_4	FRAM_RAS_F4_04_1718_4	30.04.2018	16S	18S	MG	79.01	24	26.37	3.27	35.05	27.9	325.31	98.82	0.84	365.1	8.09	23.834	250.24	0.96	0.04	NA	NA	NA	NA	0	76.01	0	78.57	RAS_F4_04_1718_4	F4-S-2	2017-18	Apr	6.96
04_2019_F4_1	FRAM_RAS_F4_04_1819_1	FRAM_RAS_F4_04_1819_1	02.04.2019	16S	18S		79	15.05	25.08	3.13	35.01	27.88	305.81	92.54	0.15	508.04	8.07	3.008	252.75	0.92	0.08	NA	NA	NA	NA	0	73.75	0	74.83	RAS_F4_04_1819_1	F4-S-3	2018-19	Apr	7
04_2019_F4_2	FRAM_RAS_F4_04_1819_2	FRAM_RAS_F4_04_1819_2	18.04.2019	16S	18S	MG	79	21.52	34.21	3.47	35.01	27.85	305.5	93.22	0.31	516.69	8.07	5.096	262.38	0.9	0.1	NA	NA	NA	NA	0	72.11	0	73.27	RAS_F4_04_1819_2	F4-S-3	2018-19	Apr	7
04_2020_F4_1	FRAM_RAS_F4_04_1920_1	FRAM_RAS_F4_04_1920_1	10.04.2020	16S	18S	MG	79.02	18.02	21.2	0.9	34.63	27.76	322.55	92.03	0.77	427.42	0	11.974	50.13	0.51	0.49	NA	NA	NA	NA	1.15	23.57	19.9	4.58	RAS_F4_04_1920_1	F4-S-4	2019-20	Apr	6.97
04_2020_F4_2	FRAM_RAS_F4_04_1920_2	FRAM_RAS_F4_04_1920_2	26.04.2020	16S	18S	MG	79.02	24	26.18	2.4	34.82	27.78	319.92	94.82	1.57	465	0	30.36	51.38	0.7	0.3	NA	NA	NA	NA	0	33.12	0.65	40.08	RAS_F4_04_1920_2	F4-S-4	2019-20	Apr	6.97
05_2017_F4_1	FRAM_RAS_F4_05_1617_1	FRAM_RAS_F4_05_2017_1	01.05.2017	16S	18S	MG	79.01	24	28.67	4.07	35.07	27.84	317.76	98.41	NA	362.5	8.11	23.446	250.43	0.97	0.03	11.72	0.74	0.01	4.39	0	42.91	0	70.92	RAS_F4_05_1617_1	F4-S-1	2016-17	May	6.96
05_2017_F4_2	FRAM_RAS_F4_05_1617_2	FRAM_RAS_F4_05_1617_2	15.05.2017	16S	18S		79.01	24	30.5	3.76	35.08	27.87	321.24	98.75	NA	364.08	8.11	28.264	251.85	0.98	0.02	11.75	0.74	0.01	4.61	0	52.5	0	59.38	RAS_F4_05_1617_2	F4-S-1	2016-17	May	6.96
05_2018_F4_1	FRAM_RAS_F4_05_1718_1	FRAM_RAS_F4_05_1718_1	12.05.2018	16S	18S	MG	79.01	24	25.39	4.11	35.07	27.83	340.4	105.51	4.28	356.62	8.12	23.02	67.5	0.95	0.05	NA	NA	NA	NA	0	75.42	0	77.44	RAS_F4_05_1718_1	F4-S-2	2017-18	May	6.96
05_2018_F4_2	FRAM_RAS_F4_05_1718_2	FRAM_RAS_F4_05_1718_2	24.05.2018	16S	18S	MG	79.01	24	29.29	3.5	35.06	27.89	340.42	103.99	5.05	364.1	8.13	22.67	66.56	0.96	0.04	NA	NA	NA	NA	0	72.42	0	74.57	RAS_F4_05_1718_2	F4-S-2	2017-18	May	6.96
05_2019_F4_1	FRAM_RAS_F4_05_1819_1	FRAM_RAS_F4_05_1819_1	04.05.2019	16S	18S	MG	79	24	29.18	2.93	34.93	27.83	313.75	94.37	1.72	507.9	8.09	30.462	161	0.82	0.18	NA	NA	NA	NA	0	70.03	0	62.61	RAS_F4_05_1819_1	F4-S-3	2018-19	May	7
05_2019_F4_2	FRAM_RAS_F4_05_1819_2	FRAM_RAS_F4_05_1819_2	20.05.2019	16S	18S	MG	79	24	23.97	3.81	35.02	27.82	314.61	96.78	0.97	523.21	8.09	27.774	72.38	0.92	0.08	NA	NA	NA	NA	0	34.49	0	67.53	RAS_F4_05_1819_2	F4-S-3	2018-19	May	7
05_2020_F4_1	FRAM_RAS_F4_05_1920_1	FRAM_RAS_F4_05_1920_1	12.05.2020	16S	18S	MG	79.02	24	20.68	2.29	34.85	27.82	333.57	98.71	3.36	496.78	0	22.606	23.94	0.74	0.26	NA	NA	NA	NA	0	73.23	0	54.78	RAS_F4_05_1920_1	F4-S-4	2019-20	May	6.97
05_2020_F4_2	FRAM_RAS_F4_05_1920_2	FRAM_RAS_F4_05_1920_2	28.05.2020	16S	18S		79.02	24	20.92	3.63	34.94	27.77	320.53	98.13	1.64	476.55	0	27.754	48.25	0.81	0.19	NA	NA	NA	NA	0	60.42	0	61.64	RAS_F4_05_1920_2	F4-S-4	2019-20	May	6.97
06_2017_F4_1	FRAM_RAS_F4_06_1617_1	FRAM_RAS_F4_06_2017_1	01.06.2017	16S	18S	MG	79.01	24	28.47	4.21	35.08	27.83	320.78	99.69	NA	380.78	8.11	60.176	249.75	0.98	0.02	11.47	0.71	0.02	4.29	0	71.5	0	43.43	RAS_F4_06_1617_1	F4-S-1	2016-17	Jun	6.96
06_2017_F4_2	FRAM_RAS_F4_06_1617_2	FRAM_RAS_F4_06_1617_2	15.06.2017	16S	18S		79.01	24	41.97	4.97	35.09	27.75	313.5	99.21	NA	374.95	NA	39.834	72.9	1	0	9.8	0.71	0.04	3.85	0	37.45	0	47.05	RAS_F4_06_1617_2	F4-S-1	2016-17	Jun	6.96
06_2018_F4_1	FRAM_RAS_F4_06_1718_1	FRAM_RAS_F4_06_1718_1	05.06.2018	16S	18S		79.01	24	24.22	3.95	35.05	27.83	373.55	115.33	12.44	276.02	8.22	51.972	26.51	0.94	0.06	NA	NA	NA	NA	0	75.42	0	74.72	RAS_F4_06_1718_1	F4-S-2	2017-18	Jun	6.96
06_2018_F4_2	FRAM_RAS_F4_06_1718_2	FRAM_RAS_F4_06_1718_2	17.06.2018	16S	18S	MG	79.01	24	27.16	4.84	35.04	27.72	364.8	115.05	13.22	284.38	NA	18.356	0	0.91	0.09	NA	NA	NA	NA	0	75.42	0	75.15	RAS_F4_06_1718_2	F4-S-2	2017-18	Jun	6.96
06_2018_F4_3	FRAM_RAS_F4_06_1718_3	FRAM_RAS_F4_06_1718_3	29.06.2018	16S	18S	MG	79.01	24	25.21	5.46	35.03	27.65	336.69	107.73	6.46	357.5	8.18	31.756	0	0.89	0.11	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_06_1718_3	F4-S-2	2017-18	Jun	6.96
06_2019_F4_1	FRAM_RAS_F4_06_1819_1	FRAM_RAS_F4_06_1819_1	05.06.2019	16S	18S		79	24	47.76	4.19	35.03	27.79	312.09	96.92	1.06	543.55	8.09	25.02	49.02	0.92	0.08	NA	NA	NA	NA	0	57.28	0	59.59	RAS_F4_06_1819_1	F4-S-3	2018-19	Jun	7
06_2019_F4_2	FRAM_RAS_F4_06_1819_2	FRAM_RAS_F4_06_1819_2	21.06.2019	16S	18S		79	24	30.92	4.45	35.04	27.77	312.29	97.58	0.69	723.32	8.09	30.334	52.67	0.92	0.08	NA	NA	NA	NA	0.38	21.44	0.08	41.84	RAS_F4_06_1819_2	F4-S-3	2018-19	Jun	7
06_2020_F4_1	FRAM_RAS_F4_06_1920_1	FRAM_RAS_F4_06_1920_1	13.06.2020	16S	18S		79.02	24	20.78	4.09	34.88	27.67	334.34	103.29	5.99	542.4	0	35.924	24.2	0.73	0.27	NA	NA	NA	NA	0	59.21	0	67.18	RAS_F4_06_1920_1	F4-S-4	2019-20	Jun	6.97
06_2020_F4_2	FRAM_RAS_F4_06_1920_2	FRAM_RAS_F4_06_1920_2	29.06.2020	16S	18S	MG	79.02	24	22.11	5.25	34.81	27.5	320.15	101.77	2.14	492.83	0	54.278	0	0.63	0.37	NA	NA	NA	NA	0	43.06	0.6	40.12	RAS_F4_06_1920_2	F4-S-4	2019-20	Jun	6.97
07_2017_F4_1	FRAM_RAS_F4_07_1617_1	FRAM_RAS_F4_07_2017_1	01.07.2017	16S	18S	MG	79.01	24	33.84	5.79	35.07	27.63	328.06	105.83	NA	344.85	NA	53.762	0	1	0	5.79	0.49	0.02	3.67	0	73.36	0	41.85	RAS_F4_07_1617_1	F4-S-1	2016-17	Jul	6.96
07_2017_F4_2	FRAM_RAS_F4_07_1617_2	FRAM_RAS_F4_07_2017_2	08.07.2017	16S	18S	MG	79.01	24	28.85	6.24	35.06	27.57	335.45	109.34	NA	376.7	NA	30.532	0	1	0	5.25	0.48	0.01	2.08	0	33.27	0	54.24	RAS_F4_07_1617_2	F4-S-1	2016-17	Jul	6.96
07_2017_F4_3	FRAM_RAS_F4_07_1617_3	FRAM_RAS_F4_07_2017_3	15.07.2017	16S	18S	MG	79.01	24	29.77	5.98	35.07	27.61	317.35	102.82	NA	421.05	NA	24.27	0	1	0	-0.12	0.21	0	3.02	0	33.61	0.06	30.51	RAS_F4_07_1617_3	F4-S-1	2016-17	Jul	6.96
07_2017_F4_4	FRAM_RAS_F4_07_1617_4	FRAM_RAS_F4_07_2017_4	22.07.2017		18S	MG	79.01	24	29.02	6.74	35.06	27.5	313.09	103.22	NA	424.45	NA	19.139	0	1	0	4.49	0.41	0.01	2.61	0	17.72	0	40.16	RAS_F4_07_1617_4	F4-S-1	2016-17	Jul	6.96
07_2018_F4_1	FRAM_RAS_F4_07_1718_1	FRAM_RAS_F4_07_1718_1	08.07.2018	16S	18S	MG	79.01	24	24.76	5.83	35.03	27.6	346.67	111.91	10.81	342.3	8.24	20.812	0	0.88	0.12	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_07_1718_1	F4-S-2	2017-18	Jul	6.96
07_2018_F4_2	FRAM_RAS_F4_07_1718_2	FRAM_RAS_F4_07_1718_2	17.07.2018	16S	18S	MG	79.01	24	23.97	5.84	35.06	27.63	329.08	106.26	6.31	491.35	8.17	24.606	0	0.92	0.08	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_07_1718_2	F4-S-2	2017-18	Jul	6.96
07_2019_F4_1	FRAM_RAS_F4_07_1819_1	FRAM_RAS_F4_07_1819_1	03.07.2019	16S	18S	MG	79	24	23.7	4.88	35.04	27.72	320.37	101.13	3.35	472.92	8.15	56.336	0	0.92	0.08	NA	NA	NA	NA	0	75.42	1.27	36.82	RAS_F4_07_1819_1	F4-S-3	2018-19	Jul	7
07_2019_F4_2	FRAM_RAS_F4_07_1819_2	FRAM_RAS_F4_07_1819_2	11.07.2019	16S	18S	MG	79	24	38.51	5.05	35.03	27.69	310.23	98.33	0.99	592.2	8.11	41.706	0	0.89	0.11	NA	NA	NA	NA	0	58.49	0	73.3	RAS_F4_07_1819_2	F4-S-3	2018-19	Jul	7
07_2019_F4_3	FRAM_RAS_F4_07_1819_3	FRAM_RAS_F4_07_1819_3	19.07.2019	16S	18S	MG	79	24	30.66	5.41	35.02	27.64	295.94	94.59	0.32	736.2	8.07	20.608	0	0.88	0.12	NA	NA	NA	NA	0	75.42	0	60.61	RAS_F4_07_1819_3	F4-S-3	2018-19	Jul	7
07_2019_F4_4	FRAM_RAS_F4_07_1819_4	FRAM_RAS_F4_07_1819_4	27.07.2019	16S	18S	MG	79	24	22.6	6.21	34.99	27.52	317.46	103.35	1.88	614.3	7.89	51.146	0	0.83	0.17	NA	NA	NA	NA	0	75.42	0	73.9	RAS_F4_07_1819_4	F4-S-3	2018-19	Jul	7
07_2020_F4_1	FRAM_RAS_F4_07_1920_1	FRAM_RAS_F4_07_1920_1	15.07.2020	16S	18S	MG	79.02	24	31.88	6.24	34.88	27.43	318.63	103.68	4.42	507.38	0	28.738	0	0.7	0.3	NA	NA	NA	NA	0	75.42	1.11	55.13	RAS_F4_07_1920_1	F4-S-4	2019-20	Jul	6.97
07_2020_F4_2	FRAM_RAS_F4_07_1920_2	FRAM_RAS_F4_07_1920_2	31.07.2020	16S	18S	MG	79.02	24	21.42	6.54	34.95	27.44	323.86	106.21	4.93	737	0	26.21	0	0.77	0.23	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_07_1920_2	F4-S-4	2019-20	Jul	6.97
