ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	07_2017_F4_4	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
euk_asv16	0	0	1	1	1	1	48	2	83	0	0	0	130	10	677	302	139	24	47	4	3	3	1	3	10	41	0	0	1	1	62	58	1	17	7	368	224	1067	104	4467	396	245	24	12	10	10	41	7	2	39	3	4	639	0	4	1	3	4	4	2	0	0	522	6939	839	27	25	19	145	12	3	8	0	16	0	128	1	184	41	49	2	236	111	1185	767	2222	1200	2539	16341	19	44	8	1	6	54	1	5
euk_asv17	2	1	1	7	0	0	0	2	5	0	0	0	383	213	14506	4130	354	211	0	3	1	2	4	12	12	2	0	0	0	0	1	180	0	0	80	48	249	649	790	7552	164	13	40	30	9	20	1	4	2	3	2	0	0	0	0	7	5	5	2	4	0	0	1	3066	6	81	10	10	21	1	2	8	7	0	1	882	0	681	1	77	0	178	1	285	88	446	235	214	5695	380	20	12	0	0	0	0	0
euk_asv18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2	62	0	32	141	2	7	447	186	26	0	217	6	8	11	0	360	100	49	18	62	3	0
euk_asv19	1558	522	1474	1429	168	381	185	0	0	0	0	0	0	0	422	60	540	1222	405	2493	1824	3642	5754	14933	2164	4440	5906	268	71	89	145	74	2	13	1	0	45	192	73	3226	2522	4019	27579	7627	6590	1047	3963	997	3923	84	1637	203	6	1	1	1	2	30	14	6	2	2	124	374	2124	31777	11930	6405	505	572	1584	676	138	7435	41480	12585	6617	1142	437	1	30	0	0	0	0	0	32	12	37	2513	4073	231	1725	2400	767	4010	3130
euk_asv20	92	13	1	0	0	0	149	0	0	0	367	488	1725	177	0	0	0	0	0	23	12	41	16	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	8	0	45	1	22	39	73	6455	4	4	1	1	4	0	0	24	1	5	0	1	1	2	0	46	1	3624	1	1	17	35	0	81	0	8	0	0	0	0	4	0	21	0	0	0	0	0	2	0	4	2	0	0	0	230	16	0	13	0
euk_asv21	1	29	32	50	633	1509	786	0	2242	383	1686	7484	441	732	12	0	18	76	23	13	1	18	47	147	2508	591	5179	3503	2687	1467	1370	5187	4	279	2189	1179	1174	1542	282	601	328	57	17	1	2	0	6	37	305	953	1243	811	0	1	5597	10	463	3	2720	462	315	1722	2637	612	0	153	28	16	111	1109	7	1	1	671	2341	8237	5102	4373	4893	7606	1186	8877	11042	2629	7383	265	7	43	254	9	232	6	2575	26	1173	581	1407
euk_asv22	178	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3435	2	6882	127	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	1	636	774	11	7796	0	13	4	8406	1	0	19	3	11	12	4	7	1	0	0	1	0	14	2	8	0	0	17	6	0	1	3	1	0	0	0	399	1	703	0	2	109	8	0	2	0	0	0	0	0	4	0	51759	4420
euk_asv23	2	9	4	2	24	345	258	241	491	1281	1080	1744	761	207	19	45	24	49	85	22	1	10	38	3	201	51	1505	445	1079	966	1148	2846	3	659	3429	1876	1124	1586	754	685	611	62	33	80	9	6	50	48	6	2	1	55	10	4	1128	4	3	0	1	1305	326	4	137	334	87	37	1	4	32	474	16	17	2	68	0	266	769	562	791	184	0	2793	913	2842	1426	195	10	33	699	164	393	0	170	4	0	3	11
euk_asv24	3808	2013	689	129	41	2	118	3	0	0	76	5	17	80	1049	1087	143	105	2748	214	3834	14845	3989	734	2419	658	526	59	128	74	0	84	0	0	0	35	583	291	1	38	308	223	191	676	862	1564	1630	392	626	2	8	2	4	0	5	7	5	1	2	2	4	0	601	5163	3576	342	260	1843	3367	667	602	3755	102	319	324	362	29	0	5	46	0	64	0	84	3	0	25	48	2904	36	45	38	2574	919	659	58	378
euk_asv25	3596	74	69	97	66	0	141	1350	493	0	211	1972	797	531	372	537	509	380	2021	1372	277	783	625	137	14152	1196	569	39	158	39	638	1159	0	276	787	706	866	1223	214	520	227	304	407	636	187	1135	1031	306	232	55	816	0	2	4	1187	3	9	14	6	100	286	28	3349	1980	4	473	2739	188	6134	678	589	738	733	404	1424	470	1098	67	161	7345	609	2246	203	264	421	407	307	780	783	2764	4315	1109	1594	1018	79	76	525
euk_asv26	1	0	1	9	12	153	441	331	532	897	494	1871	101	48	261	44	51	62	56	4	0	0	5	21	182	29	590	153	726	783	989	2481	2	746	3501	1288	1677	1427	1131	1103	1065	268	76	16	3	6	19	16	81	318	135	814	1853	4136	2047	6	3	5035	462	3315	410	5410	454	1110	153	546	214	36	534	492	89	13	9	175	191	387	605	1277	6425	5843	2707	6066	2904	5386	3692	579	79	135	2108	499	1494	260	229	141	39	69	77
euk_asv27	296	114	30	25	153	106	2716	16	229	734	37	1897	3013	605	9	70	61	299	2728	616	455	137	134	39	3561	490	733	291	943	52	159	4932	2	237	102	925	371	121	15	67	124	521	1089	999	376	202	291	276	19	810	20	1522	5	3	348	3	39	12	12	2	21	9	1009	253	225	703	2501	91	1561	1551	880	409	122	25	50	12414	432	2657	108	497	160	558	220	193	8	37	5	34	65	32	973	1396	3471	287	92	22	423
euk_asv28	645	45	232	112	232	66	1	6	0	0	1	0	9	0	6	12	87	870	196	4087	9735	15531	8921	1616	10122	855	561	34	47	0	0	1	0	1	0	0	2	7	12	187	72	63	241	348	428	2608	271	57	884	9	8	25	54	9	3	12	23	33	15	21	159	39	4	25	765	9423	9521	37177	1557	1945	5002	14263	1322	833	1641	260	106	10	0	0	0	0	103	10	0	0	31	11	69	911	2322	710	1833	619	1248	194	981
euk_asv29	2249	8743	2253	395	667	171	27	1	0	1	75	10	17	2	7	2409	56	11	1325	4537	5047	3550	1098	5544	172	1903	3643	3	29	89	1	3	0	26	3	7	4	4	45	2786	2465	1029	1902	1795	3060	1681	3794	1964	2020	1771	9	19	2	1	3	0	5	2	12	4	55	0	117	107	6	20	13971	30	939	0	148	858	591	871	3378	2751	304	2	119	0	0	19	0	1	0	14	19	40	0	9	467	3545	183	2536	1130	459	859
euk_asv30	0	0	0	0	1	1	14	7	7	4	9	167	3	15	195	5	25	39	92	0	0	1	1	5	85	105	35	12	25	20	23	136	0	37	11	152	243	153	24	959	1149	1088	22	8	6	0	3	1	7	14	0	0	2	3	8	0	46	2	3	6	0	109	126	361	104	20	81	8	10	4	0	3	4	4	3	24	9	31	26	101	21	32	45	177	20	11	4	0	13	3	41	3	1	3	5	2	1
euk_asv31	0	0	0	0	19	0	0	94	2	0	399	870	638	20	46	0	1	0	0	2	0	0	1	0	0	0	0	0	0	202	90	756	0	241	427	691	193	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	558	0	0	0	0	0	27	2	1	1	0	0	0	0	0	0	0	0	0	982	420	264	562	216	690	0	1	10	0	0	0	0	0	0	0	0	0	0
euk_asv32	4	1	6	7	483	73	0	58	0	5	0	0	1	0	2	51	1663	1855	135	251	44	851	257	12	532	94	9	105	121	0	0	235	0	5	0	0	60	4	1	329	3423	6997	440	1413	139	258	130	146	3	308	108	1	3	0	0	2	12	2	5	2474	3	0	0	326	1473	734	1689	68	3232	71	12	13	3	122	114	12	0	0	10	226	0	27	0	91	0	0	0	3	0	18	152	181	65	32	0	7	49
euk_asv33	2	3	8	1	0	0	0	0	2	4	3	0	1	0	0	17783	48573	39210	8589	268	6	1452	782	0	3	10	31	106	18	9	0	262	0	67	0	2	1	10781	25969	1336	64	41	11	14	7	1	392	21	0	328	41	4	0	0	0	0	0	0	13	2	0	0	1	0	1	8	8	13	0	242	0	13	1	13	0	0	0	0	0	0	0	0	0	2	0	18	0	0	0	0	157	8	0	0	0	2	0
euk_asv34	28	24	82	20	142	2066	1138	202	910	26	823	3707	1125	419	13	41	79	16	21	19	5	10	7	128	1185	773	7018	1174	1670	764	661	5016	4	1172	2817	2651	3544	1031	158	311	459	86	22	4	22	89	263	221	1616	1570	1903	1722	2684	3	0	5774	1	1594	6	1887	0	1233	99	1532	0	376	1034	298	71	68	26	35	97	516	530	3360	3147	476	617	2443	245	312	2248	2063	3557	1271	57	6	199	165	65	127	594	77	21	25	43
euk_asv35	1860	332	439	1050	790	195	283	2	0	1	35	1	2	1	81	17	63	565	527	1473	1817	3675	3659	3263	1210	600	6612	463	195	42	4	2	1	2	0	65	1	2	0	0	45	113	262	357	87	135	465	81	4811	831	2143	220	2	0	91	2	3	1	12	4	3	0	102	179	673	2781	6290	10311	960	481	8202	8334	1959	1924	4843	4509	4980	945	367	107	0	1	0	0	0	0	58	29	196	2994	1795	644	2428	362	745	143	470
euk_asv36	15	68	314	84	48	68	33	0	0	0	0	0	0	0	36	3	23	32	11	1	2	1	6	601	770	361	760	119	116	65	4	0	0	0	1	0	0	4	10	38	14	3	9	6	3	9	85	106	6221	7481	636	2251	1722	1	268	0	1	2	4	0	0	0	0	0	110	149	114	68	190	289	1239	903	416	39057	24878	1844	1219	1127	1319	870	462	350	435	277	29	40	17	4	33	37	843	202	461	1819	6985	3128	2618
euk_asv37	206	0	2	1	0	2	0	1	2	0	23	2	1	0	2	2	2614	67	6788	48	2380	940	134	14799	8429	1	1	0	0	178	0	1	0	55	0	0	3	22	4	118	10844	11738	5961	2246	927	2096	2	0	0	3	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	3603	211	17	248	1	1	26	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	59	69	13	215	60	1	488	0
euk_asv39	0	0	0	2	0	4	0	0	1	0	0	0	12	0	1	1	0	0	0	0	15	7	1	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	127	0	0	3	22	186	6	2	0	1	0	1	2	3	5	4	0	0	0	1	1	1	5	4	0	1	0	1	2	6	44	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	84	44	0	0	0	0
