ASV_name	Kingdom	Phylum	Class	Order	Family	Genus	Species
euk_asv7100	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Stauroneis	Stauroneis_kriegeri
euk_asv7101	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-3	Dino-I-3 uc	Dino-I-3 uc_sp.
euk_asv7102	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7103	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7104	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea uc	Novel-clade-2	Novel-clade-2 uc	Novel-clade-2 uc_sp.
euk_asv7105	Eukaryota	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Rhyzophidiales uc	Rhyzophidiales uc_sp.
euk_asv7106	Eukaryota	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum uc
euk_asv7107	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa	Protaspa_longipes
euk_asv7108	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Tontoniidae_B	Pseudotontonia	Pseudotontonia_sp.
euk_asv7109	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7110	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7111	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7112	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7113	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ventricleftida	CCW10-lineage	CCW10-lineage uc	CCW10-lineage uc_sp.
euk_asv7114	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-7	Dino-II-7 uc	Dino-II-7 uc_sp.
euk_asv7115	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-35	Dino-II-35 uc	Dino-II-35 uc_sp.
euk_asv7116	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_H	Strombidiidae_H uc	Strombidiidae_H uc_sp.
euk_asv7117	Eukaryota	Apicomplexa	Gregarinomorphea	Gregarines_GRE2	Gregarines_GRE2 uc	Gregarines_GRE2 uc	Gregarines_GRE2 uc_sp.
euk_asv7118	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II uc	Dino-Group-II uc	Dino-Group-II uc_sp.
euk_asv7119	Eukaryota	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae uc	Thraustochytriaceae uc_sp.
euk_asv7120	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7121	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Protodinium	Protodinium_simplex
euk_asv7122	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_cf_tortissimus
euk_asv7123	Eukaryota	Cercozoa	Endomyxa-Phytomyxea	Phagomyxida	Phagomyxidae	Phagomyxa	Phagomyxa_sp.
euk_asv7124	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7125	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	Mantoniella_antarctica
euk_asv7126	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
euk_asv7127	Eukaryota	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales uc	Teleaulax	Teleaulax_gracilis
euk_asv7128	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
