ASV_name	Kingdom	Phylum	Class	Order	Family	Genus	Species
euk_asv2	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv3	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv4	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii
euk_asv5	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv7	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella_glacialis
euk_asv8	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota_mammillata
euk_asv9	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_sp.
euk_asv12	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis uc
euk_asv13	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
euk_asv15	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_fusiforme
euk_asv16	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_cylindrus
euk_asv17	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_neogracilis
euk_asv18	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota_mammillata
euk_asv19	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira uc
euk_asv20	Eukaryota	Radiolaria	Acantharea	Chaunacanthida	Chaunacanthida uc	Chaunacanthida uc	Chaunacanthida uc_sp.
euk_asv21	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv22	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv23	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv24	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_sp.
euk_asv25	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv26	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv27	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniales uc	Peridiniales uc	Peridiniales uc
euk_asv28	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira uc
euk_asv29	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_M	Strombidiidae_M uc	Strombidiidae_M uc_sp.
euk_asv30	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_socialis
euk_asv31	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv32	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae_B	Leegaardiella	Leegaardiella_sp.
euk_asv33	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Araphid-pennate	Grammonema	Grammonema_striatula
euk_asv34	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv35	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_sublineata
euk_asv36	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
euk_asv37	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Chytriodiniaceae	Chytriodinium	Chytriodinium_roseum
euk_asv39	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea uc	Novel-clade-2	Novel-clade-2 uc	Novel-clade-2 uc_sp.
euk_asv40	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_debilis_1
euk_asv41	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniales uc	Peridiniales uc	Peridiniales uc
euk_asv42	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv43	Eukaryota	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Noelaerhabdaceae uc	Noelaerhabdaceae uc
euk_asv44	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-23	Dino-II-23 uc	Dino-II-23 uc_sp.
euk_asv45	Eukaryota	Pseudofungi	MAST-1	MAST-1A	MAST-1A uc	MAST-1A uc	MAST-1A uc_sp.
euk_asv47	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Eucampia	Eucampia_sp.
euk_asv48	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_M	Strombidium_M	Strombidium_M uc
euk_asv49	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv51	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Rhizosolenia	Rhizosolenia_imbricata_var_shrubsolei
euk_asv52	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniales uc	Peridiniales uc	Peridiniales uc
euk_asv53	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv54	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_fusiforme
euk_asv55	Eukaryota	Pseudofungi	MAST-1	MAST-1C	MAST-1C uc	MAST-1C uc	MAST-1C uc_sp.
euk_asv57	Eukaryota	Pseudofungi	Pirsonia_Clade	PirsoniaX	PirsoniaXX	Pirsonia uc	Pirsonia uc_sp.
euk_asv58	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Naviculales	Naviculales_sp.
euk_asv59	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv60	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Tovelliaceae	Woloszynskia	Woloszynskia_sp.
euk_asv61	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira_sp.
euk_asv62	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_danicus
euk_asv63	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Raphid-pennate uc	Raphid-pennate uc
euk_asv64	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv65	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae uc	Chrysophyceae C	Spumella	Spumella_elongata
euk_asv66	Eukaryota	Pseudofungi	MAST-1	MAST-1A	MAST-1A uc	MAST-1A uc	MAST-1A uc_sp.
euk_asv67	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_G	Strombidiidae_G uc	Strombidiidae_G uc_sp.
euk_asv68	Eukaryota	Ciliophora	Spirotrichea	Spirotrichea uc	Spirotrichea uc	Spirotrichea uc	Spirotrichea uc
euk_asv69	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Naviculales	Naviculales_sp.
euk_asv70	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota uc
euk_asv71	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Tovelliaceae	Woloszynskia	Woloszynskia_halophila
euk_asv72	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-7	Dino-II-7 uc	Dino-II-7 uc_sp.
euk_asv73	Eukaryota	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales uc	Plagioselmis	Plagioselmis_prolonga
euk_asv74	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_spirale
euk_asv75	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv76	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv77	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium uc
euk_asv78	Eukaryota	Pseudofungi	MAST-1	MAST-1C	MAST-1C uc	MAST-1C uc	MAST-1C uc_sp.
euk_asv79	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae uc	Chrysophyceae H	Chrysophyceae H uc	Chrysophyceae H uc_sp.
euk_asv80	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
euk_asv81	Eukaryota	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae H	Stephanoecidae H uc	Stephanoecidae H uc_sp.
euk_asv82	Eukaryota	Sagenista	Labyrinthulomycetes	Labyrinthulales	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.
euk_asv83	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage uc	TAGIRI1-lineage uc_sp.
euk_asv85	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_dominans
euk_asv86	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-7	Dino-II-7 uc	Dino-II-7 uc_sp.
euk_asv87	Eukaryota	Radiolaria	RAD-B	RAD-B uc	RAD-B-Group-IV	RAD-B-Group-IV uc	RAD-B-Group-IV uc_sp.
euk_asv88	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv89	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv90	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa-lineage uc	Protaspa-lineage uc_sp.
euk_asv91	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage uc	TAGIRI1-lineage uc_sp.
euk_asv92	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv93	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira_sp.
euk_asv94	Eukaryota	Ochrophyta	MOCH-2	MOCH-2 uc	MOCH-2 uc	MOCH-2 uc	MOCH-2 uc_sp.
euk_asv95	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Ephelotidae	Ephelota	Ephelota_gemmipara
euk_asv96	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Odontella	Odontella_aurita
euk_asv97	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-6	Dino-II-6 uc	Dino-II-6 uc_sp.
euk_asv98	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Bacillaria	Bacillaria_paxillifer
euk_asv99	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Protodinium	Protodinium_simplex
euk_asv100	Eukaryota	Radiolaria	RAD-C	RAD-C uc	RAD-C uc	RAD-C uc	RAD-C uc_sp.
euk_asv101	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-3	Dino-I-3 uc	Dino-I-3 uc_sp.
euk_asv102	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv103	Eukaryota	Pseudofungi	MAST-1	MAST-1B	MAST-1B uc	MAST-1B uc	MAST-1B uc_sp.
euk_asv104	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv105	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-15	Dino-II-15 uc	Dino-II-15 uc_sp.
euk_asv106	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae_B	Leegaardiella	Leegaardiella_sp.
euk_asv107	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_H	Strombidiidae_H uc	Strombidiidae_H uc_sp.
euk_asv108	Eukaryota	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4 uc	PHYLL_4 uc_sp.
euk_asv109	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv110	Eukaryota	Telonemia	Telonemia uc	Telonemia uc	Telonemia-Group-1	Telonemia-Group-1 uc	Telonemia-Group-1 uc_sp.
euk_asv111	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Blastodiniaceae	Blastodinium	Blastodinium_mangini
euk_asv112	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv113	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv114	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Araphid-pennate	Synedra	Synedra_hyperborea
euk_asv115	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Mediophyceae uc	Mediophyceae uc
euk_asv117	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica
euk_asv118	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
euk_asv119	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-4	Dino-I-4 uc	Dino-I-4 uc_sp.
euk_asv120	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc_sp.
euk_asv121	Eukaryota	Ciliophora	Oligohymenophorea	Apostomatia	Opalinopsidae	Chromidina	Chromidina_sp.
euk_asv122	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv123	Eukaryota	Centroheliozoa	Centroheliozoa uc	Pterocystida	Pterocystida uc	Pterocystida uc	Pterocystida uc
euk_asv124	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv125	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Xystonellidae	Dadayiella	Dadayiella_ganymedes
euk_asv126	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv127	Eukaryota	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Pelagococcus	Pelagococcus_sp.
euk_asv128	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata
euk_asv129	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryothecomonas-lineage	Cryothecomonas-lineage uc	Cryothecomonas-lineage uc_sp.
euk_asv130	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_cordata
euk_asv132	Eukaryota	Ochrophyta	Dictyochophyceae	Dictyochophyceae uc	Dictyochales	Dictyocha	Dictyocha_speculum
euk_asv133	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniales uc	Gymnodiniales uc	Gymnodiniales uc
euk_asv134	Eukaryota	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_sp.
euk_asv135	Eukaryota	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae uc	Thraustochytriaceae uc_sp.
euk_asv136	Eukaryota	Radiolaria	RAD-B	RAD-B uc	RAD-B-Group-I	RAD-B-Group-I uc	RAD-B-Group-I uc_sp.
euk_asv137	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa uc
euk_asv138	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_polaris
euk_asv139	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales uc	Carteria	Carteria_sp.
euk_asv140	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryothecomonas-lineage	Cryothecomonas	Cryothecomonas_aestivalis
euk_asv141	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Pelagodinium	Pelagodinium_beii
euk_asv142	Eukaryota	Opalozoa	MAST-3	MAST-3D	MAST-3D uc	MAST-3D uc	MAST-3D uc_sp.
euk_asv143	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp.
euk_asv144	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Bacillaria	Bacillaria_paxillifer
euk_asv145	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae_B	Leegaardiella	Leegaardiella_sp.
euk_asv146	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-6	Dino-II-6 uc	Dino-II-6 uc_sp.
euk_asv147	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_sp.
euk_asv148	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv149	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_commoda_A2
euk_asv150	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Thalassiosira	Thalassiosira_antarctica
euk_asv151	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv152	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Ptychocylididae	Ptychocylis	Ptychocylis_sp.
euk_asv153	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-3	Dino-I-3 uc	Dino-I-3 uc_sp.
euk_asv154	Eukaryota	Ochrophyta	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma_pacifica
euk_asv155	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_ostenfeldii
euk_asv156	Eukaryota	Ciliophora	Phyllopharyngea	Suctoria	Suctoria uc	Suctoria uc	Suctoria uc_sp.
euk_asv157	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv158	Eukaryota	Radiolaria	RAD-B	RAD-B uc	RAD-B-Group-II	RAD-B-Group-II uc	RAD-B-Group-II uc_sp.
euk_asv159	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv160	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia uc
euk_asv161	Eukaryota	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales uc	Teleaulax	Teleaulax_gracilis
euk_asv162	Eukaryota	Opalozoa	MAST-3	MAST-3E	MAST-3E uc	MAST-3E uc	MAST-3E uc_sp.
euk_asv163	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv164	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos uc
euk_asv165	Eukaryota	Dinoflagellata	Dinoflagellata uc	Dinoflagellata uc	Dinoflagellata uc	Dinoflagellata uc	Dinoflagellata uc
euk_asv166	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage uc	TAGIRI1-lineage uc_sp.
euk_asv167	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-14	Dino-II-14 uc	Dino-II-14 uc_sp.
euk_asv168	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniales uc	Gymnodiniales uc	Gymnodiniales uc
euk_asv169	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-8	Dino-I-8 uc	Dino-I-8 uc_sp.
euk_asv170	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_L	Strombidiidae_L uc	Strombidiidae_L uc_sp.
euk_asv171	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_H	Strombidiidae_H uc	Strombidiidae_H uc_sp.
euk_asv172	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Corethron	Corethron_hystrix
euk_asv173	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Araphid-pennate	Tabularia	Tabularia_tabulata
euk_asv174	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax_sp.
euk_asv175	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_seriata
euk_asv177	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodiniaceae uc	Gymnodiniaceae uc
euk_asv178	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp.
euk_asv179	Eukaryota	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae D	Stephanoecidae D uc	Stephanoecidae D uc_sp.
euk_asv180	Eukaryota	Ciliophora	Phyllopharyngea	Cyrtophoria_1	Pithitidae	Pithites	Pithites_vorax
euk_asv182	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae uc	Chrysophyceae C	Chrysophyceae C uc	Chrysophyceae C uc_sp.
euk_asv183	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv184	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Melosira	Melosira_arctica
euk_asv185	Eukaryota	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc	Eukaryota uc
euk_asv186	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_H	Strombidiidae_H uc	Strombidiidae_H uc_sp.
euk_asv187	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv188	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-14	Dino-II-14 uc	Dino-II-14 uc_sp.
euk_asv189	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae_I	Strobilidiidae_I uc	Strobilidiidae_I uc
euk_asv190	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Actinocyclus	Actinocyclus_curvatulus
euk_asv191	Eukaryota	Haptophyta	Haptophyta_Clade_HAP3	Haptophyta_Clade_HAP3 uc	Haptophyta_Clade_HAP3 uc	Haptophyta_Clade_HAP3 uc	Haptophyta_Clade_HAP3 uc_sp.
euk_asv192	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-29	Dino-II-29 uc	Dino-II-29 uc_sp.
euk_asv193	Eukaryota	Centroheliozoa	Centroheliozoa uc	Pterocystida	Pterocystida uc	Pterocystida uc	Pterocystida uc_sp.
euk_asv194	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv195	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-2	Dino-I-2 uc	Dino-I-2 uc_sp.
euk_asv196	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage uc	TAGIRI1-lineage uc_sp.
euk_asv197	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-7	Dino-II-7 uc	Dino-II-7 uc_sp.
euk_asv198	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-6	Dino-II-6 uc	Dino-II-6 uc_sp.
euk_asv199	Eukaryota	Dinoflagellata	Dinophyceae	Torodiniales	Torodiniaceae	Torodinium	Torodinium_robustum
euk_asv200	Eukaryota	Apicomplexa	Gregarinomorphea	Eugregarinorida	Lecudinidae	Lecudinidae uc	Lecudinidae uc
euk_asv201	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_sp.
euk_asv202	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae_B	Leegaardiella	Leegaardiella_sp.
euk_asv203	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv204	Eukaryota	Sagenista	Labyrinthulomycetes	Labyrinthulales	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.
euk_asv205	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_H	Strombidiidae_H uc	Strombidiidae_H uc_sp.
euk_asv206	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv207	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Raphid-pennate	Fragilariopsis	Fragilariopsis_cylindrus
euk_asv208	Eukaryota	Opalozoa	MAST-3	MAST-3L	MAST-3L uc	MAST-3L uc	MAST-3L uc_sp.
euk_asv209	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Balechina	Balechina_pachydermata
